name	Complete	KNN_50_10	KNN_50_5	KNN_50_1	NI	ORTOOLS
0000_uf5bb8d-300-30	1	0.966413868	1.088299025	1.336944745	1.063921993	1.446912243
0001_ubbb585-300-30	1	0.933030647	1.047673099	1.121452894	1.045402951	0.934165721
0002_u3ab36f-300-30	1	0.972907887	1.072847682	1.332329922	1.113184828	2.452137267
0003_u03ddd7-300-30	1	0.96678235	1.057511155	1.328705999	1.04511651	1.243430838
0004_ue08722-300-30	1	1.00124533	1.0332088	1.409713574	1.03030303	0.98256538
0005_u06f7e5-300-30	1	0.964861751	1.075460829	1.399769585	1.066820276	1.653801843
0006_ub93892-300-30	1	0.960784314	1.02413273	1.382101559	1.085470085	1.34841629
0007_u755a6b-300-30	1	0.976088813	1.04824936	1.420153715	1.046114432	1.052092229
0008_u76e86b-300-30	1	0.977272727	1.043611794	1.156633907	1.063882064	1.731572482
0009_uf3a241-300-30	1	0.980314961	1.040846457	1.312992126	1.048720472	1.087598425
0010_ucf3101-300-30	1	0.998102467	1.081593928	1.417457306	1.114800759	1.756641366
0011_u42fbd7-300-30	1	1.013300083	1.036575229	1.478387365	1.046134663	1.434746467
0012_u9d5c69-300-30	1	0.998823991	1.017640141	1.362994904	1.009408075	1.048608389
0013_ue67009-300-30	1	0.99869167	1.075447013	1.680331444	1.106410816	0.994766681
0014_ub600d6-300-30	1	0.981981982	1.021621622	1.160960961	0.982582583	1.683483483
0015_u4c2907-300-30	1	0.951456311	0.930325528	1.32038835	0.940034266	1.657338664
0016_u6adb8b-300-30	1	0.987951807	0.998192771	1.256024096	1.046385542	1.852409639
0017_u1089e1-300-30	1	0.962898298	1.027062418	1.528590135	1.007856831	1.420776953
0018_u3856a1-300-30	1	0.986586494	1.015263645	1.332099907	1.129972248	1.069842738
0019_uf1df6d-300-30	1	0.959452055	0.980273973	1.178630137	0.970958904	2.584109589
0020_u269314-300-30	1	0.98989899	1.05753184	1.317523057	1.042599912	1.425999122
0021_ue58c71-300-30	1	0.945699183	1.014896684	1.199903892	1.051417588	1.346468044
0022_uce0cde-300-30	1	1	1.052042802	1.443579767	1.086089494	1.352626459
0023_ud2f4a7-300-30	1	1.038692098	1.039782016	1.17493188	1.078474114	1.44359673
0024_u6781df-300-30	1	0.953459119	1.005660377	1.175471698	1.110062893	1.719496855
