"epoch_id","breezy-cloud-41 - _step","breezy-cloud-41 - _step__MIN","breezy-cloud-41 - _step__MAX","breezy-cloud-41 - dataset_stats.S100_N30_m3_full.gap_mean","breezy-cloud-41 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","breezy-cloud-41 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","rare-waterfall-40 - _step","rare-waterfall-40 - _step__MIN","rare-waterfall-40 - _step__MAX","rare-waterfall-40 - dataset_stats.S100_N30_m3_full.gap_mean","rare-waterfall-40 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","rare-waterfall-40 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","fast-waterfall-39 - _step","fast-waterfall-39 - _step__MIN","fast-waterfall-39 - _step__MAX","fast-waterfall-39 - dataset_stats.S100_N30_m3_full.gap_mean","fast-waterfall-39 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","fast-waterfall-39 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","elated-dragon-38 - _step","elated-dragon-38 - _step__MIN","elated-dragon-38 - _step__MAX","elated-dragon-38 - dataset_stats.S100_N30_m3_full.gap_mean","elated-dragon-38 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","elated-dragon-38 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","super-fog-37 - _step","super-fog-37 - _step__MIN","super-fog-37 - _step__MAX","super-fog-37 - dataset_stats.S100_N30_m3_full.gap_mean","super-fog-37 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","super-fog-37 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","legendary-terrain-36 - _step","legendary-terrain-36 - _step__MIN","legendary-terrain-36 - _step__MAX","legendary-terrain-36 - dataset_stats.S100_N30_m3_full.gap_mean","legendary-terrain-36 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","legendary-terrain-36 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","deep-forest-35 - _step","deep-forest-35 - _step__MIN","deep-forest-35 - _step__MAX","deep-forest-35 - dataset_stats.S100_N30_m3_full.gap_mean","deep-forest-35 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","deep-forest-35 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","misunderstood-river-34 - _step","misunderstood-river-34 - _step__MIN","misunderstood-river-34 - _step__MAX","misunderstood-river-34 - dataset_stats.S100_N30_m3_full.gap_mean","misunderstood-river-34 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","misunderstood-river-34 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","ethereal-eon-32 - _step","ethereal-eon-32 - _step__MIN","ethereal-eon-32 - _step__MAX","ethereal-eon-32 - dataset_stats.S100_N30_m3_full.gap_mean","ethereal-eon-32 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","ethereal-eon-32 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","worthy-tree-28 - _step","worthy-tree-28 - _step__MIN","worthy-tree-28 - _step__MAX","worthy-tree-28 - dataset_stats.S100_N30_m3_full.gap_mean","worthy-tree-28 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","worthy-tree-28 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","giddy-yogurt-27 - _step","giddy-yogurt-27 - _step__MIN","giddy-yogurt-27 - _step__MAX","giddy-yogurt-27 - dataset_stats.S100_N30_m3_full.gap_mean","giddy-yogurt-27 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","giddy-yogurt-27 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","fallen-snowflake-26 - _step","fallen-snowflake-26 - _step__MIN","fallen-snowflake-26 - _step__MAX","fallen-snowflake-26 - dataset_stats.S100_N30_m3_full.gap_mean","fallen-snowflake-26 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","fallen-snowflake-26 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","crimson-smoke-25 - _step","crimson-smoke-25 - _step__MIN","crimson-smoke-25 - _step__MAX","crimson-smoke-25 - dataset_stats.S100_N30_m3_full.gap_mean","crimson-smoke-25 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","crimson-smoke-25 - dataset_stats.S100_N30_m3_full.gap_mean__MAX","floral-salad-24 - _step","floral-salad-24 - _step__MIN","floral-salad-24 - _step__MAX","floral-salad-24 - dataset_stats.S100_N30_m3_full.gap_mean","floral-salad-24 - dataset_stats.S100_N30_m3_full.gap_mean__MIN","floral-salad-24 - dataset_stats.S100_N30_m3_full.gap_mean__MAX"
"0","1","1","1","1.2601844343686994","1.2601844343686994","1.2601844343686994","1","1","1","2.461549042751943","2.461549042751943","2.461549042751943","1","1","1","3.1048827330174475","3.1048827330174475","3.1048827330174475","1","1","1","1.6322066284375523","1.6322066284375523","1.6322066284375523","1","1","1","7.958421450536764","7.958421450536764","7.958421450536764","1","1","1","2.321404030845234","2.321404030845234","2.321404030845234","1","1","1","2.8511094264769805","2.8511094264769805","2.8511094264769805","1","1","1","3.248872276645585","3.248872276645585","3.248872276645585","1","1","1","1.530725086102849","1.530725086102849","1.530725086102849","1","1","1","1.4867818022830916","1.4867818022830916","1.4867818022830916","1","1","1","1.5686307980666718","1.5686307980666718","1.5686307980666718","1","1","1","1.57509457369823","1.57509457369823","1.57509457369823","1","1","1","2.8027061403548594","2.8027061403548594","2.8027061403548594","1","1","1","1.3884554361119676","1.3884554361119676","1.3884554361119676"
"10","12","12","12","2.9709991582468973","2.9709991582468973","2.9709991582468973","12","12","12","2.0740614552039673","2.0740614552039673","2.0740614552039673","12","12","12","3.2632966163399546","3.2632966163399546","3.2632966163399546","12","12","12","3.3197278941184423","3.3197278941184423","3.3197278941184423","12","12","12","7.37477521269582","7.37477521269582","7.37477521269582","12","12","12","6.033877393724413","6.033877393724413","6.033877393724413","12","12","12","7.284259864649277","7.284259864649277","7.284259864649277","12","12","12","1.5634564337643937","1.5634564337643937","1.5634564337643937","12","12","12","1.30825706956646","1.30825706956646","1.30825706956646","12","12","12","1.9073385921114814","1.9073385921114814","1.9073385921114814","12","12","12","1.392191596784607","1.392191596784607","1.392191596784607","12","12","12","1.5320699181524935","1.5320699181524935","1.5320699181524935","12","12","12","2.1232785168098007","2.1232785168098007","2.1232785168098007","12","12","12","1.3769508324004622","1.3769508324004622","1.3769508324004622"
"20","23","23","23","2.776531213361149","2.776531213361149","2.776531213361149","23","23","23","2.2454947953764033","2.2454947953764033","2.2454947953764033","23","23","23","3.105217197732114","3.105217197732114","3.105217197732114","23","23","23","3.5824860082543237","3.5824860082543237","3.5824860082543237","23","23","23","7.102702023077672","7.102702023077672","7.102702023077672","23","23","23","6.287407426353966","6.287407426353966","6.287407426353966","23","23","23","8.301977951508954","8.301977951508954","8.301977951508954","23","23","23","1.5634354088526932","1.5634354088526932","1.5634354088526932","23","23","23","1.3044415515094718","1.3044415515094718","1.3044415515094718","23","23","23","2.064479466347886","2.064479466347886","2.064479466347886","23","23","23","1.3111925216663036","1.3111925216663036","1.3111925216663036","23","23","23","1.5760227086612448","1.5760227086612448","1.5760227086612448","23","23","23","2.0552689904238157","2.0552689904238157","2.0552689904238157","23","23","23","1.318182655051002","1.318182655051002","1.318182655051002"
"30","34","34","34","2.841402247200926","2.841402247200926","2.841402247200926","34","34","34","2.202588143457972","2.202588143457972","2.202588143457972","34","34","34","3.212371229877615","3.212371229877615","3.212371229877615","34","34","34","8.183331223942119","8.183331223942119","8.183331223942119","34","34","34","7.76697289902035","7.76697289902035","7.76697289902035","34","34","34","6.277112745795614","6.277112745795614","6.277112745795614","34","34","34","8.253242722139028","8.253242722139028","8.253242722139028","34","34","34","1.5634354088526932","1.5634354088526932","1.5634354088526932","34","34","34","1.2805347453917526","1.2805347453917526","1.2805347453917526","34","34","34","1.8277438333420282","1.8277438333420282","1.8277438333420282","34","34","34","1.2490923088461516","1.2490923088461516","1.2490923088461516","34","34","34","1.6519887408738219","1.6519887408738219","1.6519887408738219","34","34","34","1.7815359270270543","1.7815359270270543","1.7815359270270543","34","34","34","1.29540426563536","1.29540426563536","1.29540426563536"
"40","45","45","45","2.898226984822473","2.898226984822473","2.898226984822473","45","45","45","2.2731872276976137","2.2731872276976137","2.2731872276976137","45","45","45","2.598762200705967","2.598762200705967","2.598762200705967","45","45","45","7.912436269404819","7.912436269404819","7.912436269404819","45","45","45","7.495082313050233","7.495082313050233","7.495082313050233","45","45","45","6.183010326880417","6.183010326880417","6.183010326880417","45","45","45","7.777050826362784","7.777050826362784","7.777050826362784","45","45","45","1.4090742278008253","1.4090742278008253","1.4090742278008253","45","45","45","1.2105357605918625","1.2105357605918625","1.2105357605918625","45","45","45","1.675597060660882","1.675597060660882","1.675597060660882","45","45","45","1.1627782245393121","1.1627782245393121","1.1627782245393121","45","45","45","1.4378687704517035","1.4378687704517035","1.4378687704517035","45","45","45","1.478380097619705","1.478380097619705","1.478380097619705","45","45","45","1.2679907749574437","1.2679907749574437","1.2679907749574437"
"50","56","56","56","2.890558972394734","2.890558972394734","2.890558972394734","56","56","56","2.2828955195497342","2.2828955195497342","2.2828955195497342","56","56","56","7.098065620727222","7.098065620727222","7.098065620727222","56","56","56","6.336061565942416","6.336061565942416","6.336061565942416","56","56","56","7.432993114983434","7.432993114983434","7.432993114983434","56","56","56","5.979484674191347","5.979484674191347","5.979484674191347","56","56","56","6.2294157129453716","6.2294157129453716","6.2294157129453716","56","56","56","1.3633068730463562","1.3633068730463562","1.3633068730463562","56","56","56","1.2166436029168997","1.2166436029168997","1.2166436029168997","56","56","56","1.4627276476756492","1.4627276476756492","1.4627276476756492","56","56","56","1.1811050215876193","1.1811050215876193","1.1811050215876193","56","56","56","1.341559807148462","1.341559807148462","1.341559807148462","56","56","56","1.3852888568956667","1.3852888568956667","1.3852888568956667","56","56","56","1.3972834403053593","1.3972834403053593","1.3972834403053593"
"60","67","67","67","3.0122194553962403","3.0122194553962403","3.0122194553962403","67","67","67","2.3394555798404073","2.3394555798404073","2.3394555798404073","67","67","67","6.774405819130565","6.774405819130565","6.774405819130565","67","67","67","6.057912551325571","6.057912551325571","6.057912551325571","67","67","67","7.046296807798469","7.046296807798469","7.046296807798469","67","67","67","6.292129604987142","6.292129604987142","6.292129604987142","67","67","67","6.689104199746677","6.689104199746677","6.689104199746677","67","67","67","1.345562430800587","1.345562430800587","1.345562430800587","67","67","67","1.2032930049579995","1.2032930049579995","1.2032930049579995","67","67","67","1.3648186039826755","1.3648186039826755","1.3648186039826755","67","67","67","1.1823860370808084","1.1823860370808084","1.1823860370808084","67","67","67","1.2772411507563988","1.2772411507563988","1.2772411507563988","67","67","67","1.3558840910702985","1.3558840910702985","1.3558840910702985","67","67","67","1.455356940185733","1.455356940185733","1.455356940185733"
"70","78","78","78","3.2452843553046136","3.2452843553046136","3.2452843553046136","78","78","78","1.8177854946365748","1.8177854946365748","1.8177854946365748","78","78","78","6.729155213711668","6.729155213711668","6.729155213711668","78","78","78","6.0320482486583105","6.0320482486583105","6.0320482486583105","78","78","78","7.650387670923766","7.650387670923766","7.650387670923766","78","78","78","6.257953680829639","6.257953680829639","6.257953680829639","78","78","78","7.494890987047071","7.494890987047071","7.494890987047071","78","78","78","1.3451932082159614","1.3451932082159614","1.3451932082159614","78","78","78","1.1855781770094997","1.1855781770094997","1.1855781770094997","78","78","78","1.2771602683563505","1.2771602683563505","1.2771602683563505","78","78","78","1.2073900989438617","1.2073900989438617","1.2073900989438617","78","78","78","1.3937330084981427","1.3937330084981427","1.3937330084981427","78","78","78","1.294448223068112","1.294448223068112","1.294448223068112","78","78","78","1.440399003481411","1.440399003481411","1.440399003481411"
"80","89","89","89","3.2366151562050924","3.2366151562050924","3.2366151562050924","89","89","89","2.1871032772812136","2.1871032772812136","2.1871032772812136","89","89","89","6.059893483872521","6.059893483872521","6.059893483872521","89","89","89","5.95340951430325","5.95340951430325","5.95340951430325","89","89","89","7.899216767311743","7.899216767311743","7.899216767311743","89","89","89","6.218530144236771","6.218530144236771","6.218530144236771","89","89","89","6.598407857429638","6.598407857429638","6.598407857429638","89","89","89","1.3470264028955197","1.3470264028955197","1.3470264028955197","89","89","89","1.1923797255194746","1.1923797255194746","1.1923797255194746","89","89","89","1.3365965954804324","1.3365965954804324","1.3365965954804324","89","89","89","1.2366552739390362","1.2366552739390362","1.2366552739390362","89","89","89","1.3035572275195153","1.3035572275195153","1.3035572275195153","89","89","89","1.426133486364172","1.426133486364172","1.426133486364172","89","89","89","1.3534704396661095","1.3534704396661095","1.3534704396661095"
"90","100","100","100","3.2284413268685195","3.2284413268685195","3.2284413268685195","100","100","100","1.887218531296489","1.887218531296489","1.887218531296489","100","100","100","6.111222138086812","6.111222138086812","6.111222138086812","100","100","100","5.967614346689311","5.967614346689311","5.967614346689311","100","100","100","7.940713694758812","7.940713694758812","7.940713694758812","100","100","100","6.371699871168878","6.371699871168878","6.371699871168878","100","100","100","6.564396748707863","6.564396748707863","6.564396748707863","100","100","100","1.3364607178548509","1.3364607178548509","1.3364607178548509","100","100","100","1.212178619441917","1.212178619441917","1.212178619441917","100","100","100","1.3572366263686075","1.3572366263686075","1.3572366263686075","100","100","100","1.3160416598939872","1.3160416598939872","1.3160416598939872","100","100","100","1.3573065620290772","1.3573065620290772","1.3573065620290772","100","100","100","1.3878816476796565","1.3878816476796565","1.3878816476796565","100","100","100","1.3619972568074146","1.3619972568074146","1.3619972568074146"
